"start_country","end_country","pillar","count"
"Australia","Australia","ESD","1"
"Australia","Singapore","EPD","2"
"Australia","Singapore","ESD","2"
"Australia","Switzerland","EPD","1"
"Australia","United States","EPD","1"
"Canada","Singapore","EPD","1"
"Canada","Singapore","ISTD","2"
"China","Australia","EPD","1"
"China","China","EPD","2"
"China","China","ESD","1"
"China","Hong Kong","ESD","2"
"China","Singapore","EPD","2"
"China","Singapore","HASS","1"
"China","Singapore","ISTD","1"
"China","United Kingdom","ESD","1"
"China","United Kingdom","ISTD","1"
"China","United States","EPD","2"
"China","United States","ESD","3"
"France","France","EPD","1"
"France","France","HASS","2"
"France","Italy","EPD","1"
"France","Singapore","HASS","1"
"France","Switzerland","EPD","1"
"France","United States","HASS","1"
"Germany","Germany","ISTD","2"
"Germany","Singapore","EPD","1"
"Germany","Singapore","HASS","1"
"Germany","Singapore","ISTD","2"
"Germany","Switzerland","ISTD","1"
"Greece","Greece","ESD","1"
"Greece","United States","ASD","1"
"Greece","United States","ESD","2"
"Hong Kong","Hong Kong","ESD","1"
"Hong Kong","Hong Kong","ISTD","1"
"Hong Kong","Singapore","ESD","1"
"Hong Kong","Singapore","ISTD","2"
"Hong Kong","United States","EPD","1"
"Hong Kong","United States","ESD","1"
"Hong Kong","United States","ISTD","1"
"India","Germany","EPD","1"
"India","India","EPD","2"
"India","India","ESD","1"
"India","India","ISTD","1"
"India","Singapore","EPD","3"
"India","United States","EPD","2"
"India","United States","ESD","3"
"India","United States","ISTD","2"
"Indonesia","Australia","EPD","1"
"Ireland","Singapore","ISTD","1"
"Ireland","United Kingdom","EPD","1"
"Italy","Australia","EPD","1"
"Italy","Germany","ISTD","1"
"Italy","Italy","ESD","2"
"Italy","Singapore","EPD","1"
"Italy","Singapore","ESD","1"
"Japan","Japan","ISTD","1"
"Japan","Singapore","EPD","1"
"Japan","United States","ISTD","1"
"Malaysia","Malaysia","EPD","1"
"Malaysia","United States","EPD","1"
"Netherlands","Netherlands","EPD","2"
"Netherlands","Netherlands","HASS","1"
"Netherlands","Singapore","EPD","1"
"Netherlands","Singapore","HASS","1"
"Netherlands","United States","HASS","1"
"Portugal","Singapore","EPD","1"
"Republic of Serbia","Republic of Serbia","EPD","1"
"Republic of Serbia","United States","EPD","1"
"Russia","United States","ESD","1"
"Singapore","Canada","ISTD","1"
"Singapore","Singapore","EPD","36"
"Singapore","Singapore","ESD","3"
"Singapore","Singapore","HASS","8"
"Singapore","Singapore","ISTD","10"
"Singapore","United Kingdom","EPD","1"
"Singapore","United Kingdom","HASS","1"
"Singapore","United States","EPD","4"
"Singapore","United States","ESD","2"
"Singapore","United States","HASS","1"
"South Korea","United Kingdom","HASS","1"
"South Korea","United Kingdom","ISTD","1"
"Spain","Singapore","EPD","1"
"Spain","Sweden","EPD","1"
"Sweden","Spain","EPD","1"
"Switzerland","Singapore","EPD","2"
"Switzerland","Singapore","ISTD","1"
"Taiwan","United States","EPD","1"
"Turkey","Turkey","ESD","1"
"Turkey","United States","ESD","1"
"United Kingdom","Germany","HASS","1"
"United Kingdom","Ireland","ISTD","1"
"United Kingdom","Singapore","EPD","4"
"United Kingdom","Singapore","ESD","1"
"United Kingdom","Singapore","HASS","3"
"United Kingdom","Singapore","ISTD","1"
"United Kingdom","United Kingdom","EPD","1"
"United Kingdom","United Kingdom","ESD","1"
"United Kingdom","United Kingdom","HASS","4"
"United Kingdom","United Kingdom","ISTD","1"
"United Kingdom","United States","HASS","1"
"United States","Singapore","ASD","1"
"United States","Singapore","EPD","26"
"United States","Singapore","ESD","17"
"United States","Singapore","HASS","13"
"United States","Singapore","ISTD","5"
"United States","United States","EPD","25"
"United States","United States","ESD","14"
"United States","United States","HASS","11"
"United States","United States","ISTD","2"
"Venezuela","Australia","ESD","1"
